FIPS,County,Cruz,Beto,Cruz %,Beto %
48001,Anderson,"11,335","3,307",0.77,0.23
48003,Andrews,"3,338",776,0.81,0.19
48005,Angelina,"19,166","7,130",0.73,0.27
48007,Aransas,"6,677","2,247",0.75,0.25
48009,Archer,"3,208",376,0.9,0.1
48011,Armstrong,819,74,0.92,0.08
48013,Atascosa,"7,753","4,332",0.64,0.36
48015,Austin,"8,722","2,241",0.8,0.2
48017,Bailey,"1,204",405,0.75,0.25
48019,Bandera,"7,643","1,865",0.8,0.2
48021,Bastrop,"15,067","12,082",0.55,0.45
48023,Baylor,"1,070",156,0.87,0.13
48025,Bee,"4,342","2,811",0.61,0.39
48027,Bell,"47,437","38,417",0.55,0.45
48029,Bexar,"217,600","326,946",0.4,0.6
48031,Blanco,"4,181","1,570",0.73,0.27
48033,Borden,320,22,0.94,0.06
48035,Bosque,"5,718","1,374",0.81,0.19
48037,Bowie,"20,157","7,982",0.72,0.28
48039,Brazoria,"65,693","45,228",0.59,0.41
48041,Brazos,"35,971","27,876",0.56,0.44
48043,Brewster,"1,879","2,147",0.47,0.53
48045,Briscoe,553,69,0.89,0.11
48047,Brooks,543,"1,376",0.28,0.72
48049,Brown,"10,391","1,670",0.86,0.14
48051,Burleson,"5,079","1,427",0.78,0.22
48053,Burnet,"13,859","4,444",0.76,0.24
48055,Caldwell,"6,147","5,227",0.54,0.46
48057,Calhoun,"4,198","1,874",0.69,0.31
48059,Callahan,"4,373",610,0.88,0.12
48061,Cameron,"28,574","48,770",0.37,0.63
48063,Camp,"2,749","1,119",0.71,0.29
48065,Carson,"2,192",245,0.9,0.1
48067,Cass,"8,148","2,024",0.8,0.2
48069,Castro,"1,219",394,0.76,0.24
48071,Chambers,"12,146","2,926",0.81,0.19
48073,Cherokee,"11,631","3,207",0.78,0.22
48075,Childress,"1,526",236,0.87,0.13
48077,Clay,"3,710",547,0.87,0.13
48079,Cochran,541,140,0.79,0.21
48081,Coke,"1,150",137,0.89,0.11
48083,Coleman,"2,759",351,0.89,0.11
48085,Collin,"187,425","165,614",0.53,0.47
48087,Collingsworth,810,113,0.88,0.12
48089,Colorado,"5,779","1,825",0.76,0.24
48091,Comal,"44,079","16,830",0.72,0.28
48093,Comanche,"3,799",781,0.83,0.17
48095,Concho,803,163,0.83,0.17
48097,Cooke,"11,879","2,550",0.82,0.18
48099,Coryell,"10,626","5,067",0.68,0.32
48101,Cottle,458,97,0.83,0.17
48103,Crane,836,213,0.8,0.2
48105,Crockett,928,340,0.73,0.27
48107,Crosby,978,437,0.69,0.31
48109,Culberson,297,521,0.36,0.64
48111,Dallam,970,139,0.87,0.13
48113,Dallas,"241,126","481,395",0.33,0.67
48115,Dawson,"2,192",811,0.73,0.27
48117,Deaf Smith,"2,680","1,067",0.72,0.28
48119,Delta,"1,562",354,0.82,0.18
48121,Denton,"158,744","134,649",0.54,0.46
48123,Dewitt,"4,974","1,128",0.82,0.18
48125,Dickens,635,113,0.85,0.15
48127,Dimmit,840,"2,042",0.29,0.71
48129,Donley,"1,110",161,0.87,0.13
48131,Duval,"1,330","2,765",0.32,0.68
48133,Eastland,"5,377",800,0.87,0.13
48135,Ector,"20,996","9,230",0.69,0.31
48137,Edwards,604,145,0.81,0.19
48139,Ellis,"41,022","19,106",0.68,0.32
48141,El Paso,"50,943","151,482",0.25,0.75
48143,Erath,"10,055","2,486",0.8,0.2
48145,Falls,"3,215","1,445",0.69,0.31
48147,Fannin,"8,569","2,107",0.8,0.2
48149,Fayette,"8,228","2,198",0.79,0.21
48151,Fisher,"1,139",340,0.77,0.23
48153,Floyd,"1,394",476,0.75,0.25
48155,Foard,321,113,0.74,0.26
48157,Fort Bend,"111,423","142,399",0.44,0.56
48159,Franklin,"3,300",639,0.84,0.16
48161,Freestone,"5,243","1,279",0.8,0.2
48163,Frio,"1,636","2,016",0.45,0.55
48165,Gaines,"3,317",513,0.87,0.13
48167,Galveston,"67,641","45,065",0.6,0.4
48169,Garza,"1,068",203,0.84,0.16
48171,Gillespie,"9,890","2,572",0.79,0.21
48173,Glasscock,513,37,0.93,0.07
48175,Goliad,"2,326",717,0.76,0.24
48177,Gonzales,"4,173","1,421",0.75,0.25
48179,Gray,"5,246",615,0.9,0.1
48181,Grayson,"31,655","11,157",0.74,0.26
48183,Gregg,"24,569","11,133",0.69,0.31
48185,Grimes,"6,499","2,037",0.76,0.24
48187,Guadalupe,"33,938","20,079",0.63,0.37
48189,Hale,"5,360","1,970",0.73,0.27
48191,Hall,807,161,0.83,0.17
48193,Hamilton,"2,795",507,0.85,0.15
48195,Hansford,"1,552",138,0.92,0.08
48197,Hardeman,973,185,0.84,0.16
48199,Hardin,"17,391","2,636",0.87,0.13
48201,Harris,"498,902","700,200",0.42,0.58
48203,Harrison,"16,226","6,245",0.72,0.28
48205,Hartley,"1,467",153,0.91,0.09
48207,Haskell,"1,362",302,0.82,0.18
48209,Hays,"33,308","45,584",0.42,0.58
48211,Hemphill,"1,209",157,0.89,0.11
48213,Henderson,"20,891","5,415",0.79,0.21
48215,Hidalgo,"46,505","104,416",0.31,0.69
48217,Hill,"8,927","2,443",0.79,0.21
48219,Hockley,"4,844","1,211",0.8,0.2
48221,Hood,"20,090","4,720",0.81,0.19
48223,Hopkins,"9,306","2,545",0.79,0.21
48225,Houston,"5,552","1,772",0.76,0.24
48227,Howard,"5,651","1,693",0.77,0.23
48229,Hudspeth,509,407,0.56,0.44
48231,Hunt,"21,115","7,151",0.75,0.25
48233,Hutchinson,"5,854",753,0.89,0.11
48235,Irion,636,96,0.87,0.13
48237,Jack,"2,498",296,0.89,0.11
48239,Jackson,"3,991",832,0.83,0.17
48241,Jasper,"9,504","2,282",0.81,0.19
48243,Jeff Davis,683,466,0.59,0.41
48245,Jefferson,"36,731","37,128",0.5,0.5
48247,Jim Hogg,410,"1,060",0.28,0.72
48249,Jim Wells,"4,520","5,331",0.46,0.54
48251,Johnson,"39,571","12,411",0.76,0.24
48253,Jones,"4,115",832,0.83,0.17
48255,Karnes,"2,900","1,203",0.71,0.29
48257,Kaufman,"26,118","12,002",0.69,0.31
48259,Kendall,"15,292","4,340",0.78,0.22
48261,Kenedy,100,77,0.56,0.44
48263,Kent,288,44,0.87,0.13
48265,Kerr,"16,822","5,198",0.76,0.24
48267,Kimble,"1,495",195,0.88,0.12
48269,King,124,6,0.95,0.05
48271,Kinney,827,358,0.7,0.3
48273,Kleberg,"4,081","4,456",0.48,0.52
48275,Knox,855,229,0.79,0.21
48277,Lamar,"12,711","3,731",0.77,0.23
48279,Lamb,"2,741",699,0.8,0.2
48281,Lampasas,"5,836","1,569",0.79,0.21
48283,Lasalle,673,813,0.45,0.55
48285,Lavaca,"6,688","1,019",0.87,0.13
48287,Lee,"4,487","1,322",0.77,0.23
48289,Leon,"5,711",855,0.87,0.13
48291,Liberty,"16,041","4,421",0.78,0.22
48293,Limestone,"5,211","1,672",0.76,0.24
48295,Lipscomb,942,116,0.89,0.11
48297,Live Oak,"3,029",601,0.83,0.17
48299,Llano,"7,954","2,124",0.79,0.21
48301,Loving,47,6,0.89,0.11
48303,Lubbock,"58,780","32,068",0.65,0.35
48305,Lynn,"1,369",323,0.81,0.19
48307,Madison,"3,033",780,0.8,0.2
48309,Marion,"2,448","1,018",0.71,0.29
48317,Martin,"1,297",243,0.84,0.16
48313,Mason,"1,560",402,0.8,0.2
48315,Matagorda,"7,330","3,049",0.71,0.29
48323,Maverick,"2,951","7,727",0.28,0.72
48319,Mcculloch,"2,245",400,0.85,0.15
48321,Mclennan,"45,855","28,452",0.62,0.38
48311,Mcmullen,387,41,0.9,0.1
48325,Medina,"11,444","4,621",0.71,0.29
48327,Menard,632,145,0.81,0.19
48329,Midland,"32,867","9,723",0.77,0.23
48331,Milam,"5,922","1,997",0.75,0.25
48333,Mills,"1,764",229,0.89,0.11
48335,Mitchell,"1,585",323,0.83,0.17
48337,Montague,"6,424",941,0.87,0.13
48339,Montgomery,"137,395","51,268",0.73,0.27
48341,Moore,"3,248",787,0.8,0.2
48343,Morris,"2,953","1,260",0.7,0.3
48345,Motley,483,40,0.92,0.08
48347,Nacogdoches,"13,775","7,732",0.64,0.36
48349,Navarro,"10,391","3,918",0.73,0.27
48351,Newton,"3,660",993,0.79,0.21
48353,Nolan,"3,120",928,0.77,0.23
48355,Nueces,"45,956","47,392",0.49,0.51
48357,Ochiltree,"2,160",230,0.9,0.1
48359,Oldham,732,82,0.9,0.1
48361,Orange,"21,164","5,050",0.81,0.19
48363,Palo Pinto,"7,547","1,837",0.8,0.2
48365,Panola,"7,120","1,598",0.82,0.18
48367,Parker,"44,071","9,956",0.82,0.18
48369,Parmer,"1,675",372,0.82,0.18
48371,Pecos,"2,161","1,339",0.62,0.38
48373,Polk,"12,794","3,850",0.77,0.23
48375,Potter,"16,689","7,521",0.69,0.31
48377,Presidio,436,"1,221",0.26,0.74
48379,Rains,"3,702",681,0.84,0.16
48381,Randall,"38,479","9,613",0.8,0.2
48383,Reagan,692,136,0.84,0.16
48385,Real,"1,311",245,0.84,0.16
48387,Red River,"3,427",973,0.78,0.22
48389,Reeves,"1,128","1,255",0.47,0.53
48391,Refugio,"1,636",847,0.66,0.34
48393,Roberts,441,19,0.96,0.04
48395,Robertson,"4,295","1,942",0.69,0.31
48397,Rockwall,"26,615","11,754",0.69,0.31
48399,Runnels,"2,842",385,0.88,0.12
48401,Rusk,"12,597","3,609",0.78,0.22
48403,Sabine,"3,456",496,0.87,0.13
48405,San Augustine,"2,266",734,0.76,0.24
48407,San Jacinto,"7,499","1,785",0.81,0.19
48409,San Patricio,"11,335","6,777",0.63,0.37
48411,San Saba,"1,811",247,0.88,0.12
48413,Schleicher,735,209,0.78,0.22
48415,Scurry,"3,705",642,0.85,0.15
48417,Shackelford,"1,174",103,0.92,0.08
48419,Shelby,"6,008","1,521",0.8,0.2
48421,Sherman,692,87,0.89,0.11
48423,Smith,"53,760","23,182",0.7,0.3
48425,Somervell,"3,033",633,0.83,0.17
48427,Starr,"2,443","8,273",0.23,0.77
48429,Stephens,"2,631",324,0.89,0.11
48431,Sterling,442,44,0.91,0.09
48433,Stonewall,497,112,0.82,0.18
48435,Sutton,934,265,0.78,0.22
48437,Swisher,"1,461",420,0.78,0.22
48439,Tarrant,"309,189","313,497",0.5,0.5
48441,Taylor,"29,811","10,489",0.74,0.26
48443,Terrell,323,139,0.7,0.3
48445,Terry,"2,169",629,0.78,0.22
48447,Throckmorton,617,77,0.89,0.11
48449,Titus,"5,685","2,265",0.72,0.28
48451,Tom Green,"24,648","9,690",0.72,0.28
48453,Travis,"119,278","359,772",0.25,0.75
48455,Trinity,"4,146",998,0.81,0.19
48457,Tyler,"5,919","1,185",0.83,0.17
48459,Upshur,"11,529","2,364",0.83,0.17
48461,Upton,854,169,0.83,0.17
48463,Uvalde,"4,348","3,528",0.55,0.45
48465,Val Verde,"5,345","5,955",0.47,0.53
48467,Van Zandt,"15,182","2,634",0.85,0.15
48469,Victoria,"19,005","8,046",0.7,0.3
48471,Walker,"11,535","6,186",0.65,0.35
48473,Waller,"10,167","6,335",0.62,0.38
48475,Ward,"2,096",800,0.72,0.28
48477,Washington,"10,134","3,263",0.76,0.24
48479,Webb,"13,814","35,159",0.28,0.72
48481,Wharton,"9,094","3,793",0.71,0.29
48483,Wheeler,"1,679",125,0.93,0.07
48485,Wichita,"23,648","9,971",0.7,0.3
48487,Wilbarger,"2,639",776,0.77,0.23
48489,Willacy,"1,527","2,773",0.36,0.64
48491,Williamson,"99,857","105,850",0.49,0.51
48493,Wilson,"13,025","4,567",0.74,0.26
48495,Winkler,"1,123",321,0.78,0.22
48497,Wise,"19,023","3,915",0.83,0.17
48499,Wood,"13,987","2,635",0.84,0.16
48501,Yoakum,"1,558",335,0.82,0.18
48503,Young,"5,543",821,0.87,0.13
48505,Zapata,821,"1,392",0.37,0.63
48507,Zavala,589,"2,313",0.2,0.8